Title,Year,Plot,Runtime,Genre,Imdb rating
Chungking Express,(1994),"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",102 min,"Comedy, Crime, Drama            ",8
Mommy,(I) (2014),"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",139 min,Drama            ,8
The Prestige,(2006),"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",130 min,"Drama, Mystery, Thriller            ",8.5
A form in the window,(1961),A young governess for two children becomes convinced that the house and grounds are haunted.,100 min,Horror            ,7.8
Black Swan,(2010),"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",108 min,"Drama, Thriller            ",8
Kakushi-toride no san-akunin,(1958),"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",139 min,"Action, Adventure, Drama            ",8.1
The Succession,(2018),A grieving family is haunted by tragic and disturbing occurrences.,127 min,"Drama, Horror, Mystery            ",7.3
"Black cat, white cat",(1998),Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,127 min,"Comedy, Crime, Romance            ",8
Σλουθ,(1972),"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",138 min,"Mystery, Thriller            ",8
Coco,(I) (2017),"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",105 min,"Animation, Adventure, Comedy            ",8.4
The hunter,(1987),A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,107 min,"Action, Adventure, Horror            ",7.8
Yeopgijeogin geunyeo,(2001),"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",137 min,"Comedy, Drama, Romance            ",8
Dead Poets Society,(1989),Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,128 min,"Comedy, Drama            ",8.1
Breakfast at Tiffany's,(1961),"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",115 min,"Comedy, Drama, Romance            ",7.6
