Title,Year,Plot,Runtime,Genre,Imdb rating
Donnie Darko,(2001),"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",113 min,"Drama, Mystery, Sci-Fi            ",8
Before Dawn,(1995),"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",101 min,"Drama, Romance            ",8.1
Let the evil come in,(2008),"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",114 min,"Drama, Fantasy, Horror            ",7.9
Bourne's ultimatum,(2007),Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,115 min,"Action, Mystery, Thriller            ",8
Family celebration,(1998),"At Helge's 60th birthday party, some unpleasant family truths are revealed.",105 min,Drama            ,8.1
Ratatouille,(2007),A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,111 min,"Animation, Adventure, Comedy            ",8.1
JFK: The story that was etched in our memory,(1991),New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,189 min,"Drama, History, Thriller            ",8
The book of the jungle,(1967),Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,78 min,"Animation, Adventure, Comedy            ",7.6
Eskiya,(1996),"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",128 min,"Crime, Drama, Thriller            ",8.1
The children of men,(2006),"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",109 min,"Action, Drama, Sci-Fi            ",7.9
The social network,(2010),"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",120 min,"Biography, Drama            ",7.8
Princess Mononoke,(1997),"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",134 min,"Animation, Action, Adventure            ",8.4
The doomed,(1952),A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,143 min,Drama            ,8.3
The Incredibles,(2004),"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",115 min,"Animation, Action, Adventure            ",8
Untouched,(2011),"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",112 min,"Biography, Comedy, Drama            ",8.5
The elephant man,(1980),"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",124 min,"Biography, Drama            ",8.2
In the name of the father,(1993),A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,133 min,"Biography, Crime, Drama            ",8.1
Kill Bill Volume 1,(2003),"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",111 min,"Action, Crime, Drama            ",8.2
Blade Runner 2049,(2017),"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",164 min,"Action, Drama, Mystery            ",8
Skyfall,(2012),"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",143 min,"Action, Adventure, Thriller            ",7.8
The rails with blue,(1980),"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",133 min,"Action, Adventure, Comedy            ",7.9
The secret in her eyes,(2009),A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,129 min,"Drama, Mystery, Romance            ",8.2
Groundhog Day,(1993),A self-centered Pittsburgh weatherman finds himself inexplicably trapped in a small town as he lives the same day over and over again.,101 min,"Comedy, Drama, Fantasy            ",8.1
Yozibo,(1961),A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,110 min,"Action, Drama, Thriller            ",8.2
Youth Slogans,(1973),A group of teenagers in California's central valley spend one final night after their 1962 high school graduation cruising the strip with their buddies before they pursue their varying goals.,110 min,"Comedy, Drama            ",7.4
Infidelities and sins,(1989),An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,104 min,"Comedy, Drama            ",7.8
Lost love,(2000),"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",154 min,"Drama, Thriller            ",8.1
The moving castle,(2004),"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",119 min,"Animation, Adventure, Family            ",8.2
Gaddy,(1982),The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,191 min,"Biography, Drama            ",8.1
The Forest Neighborhood: The Adventures of Totoro,(1988),"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",86 min,"Animation, Comedy, Family            ",8.1
Case Notaries,(1946),The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?,102 min,"Drama, Film-Noir, Romance            ",7.9
The Nuremberg Trials,(1961),"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",179 min,"Drama, War            ",8.3
Sweet Smell of Success,(1957),Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,96 min,"Drama, Film-Noir            ",8
Mary and Max,(2009),"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",92 min,"Animation, Comedy, Drama            ",8.1
Hers,(2013),"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",126 min,"Drama, Romance, Sci-Fi            ",8
Through the flames,(2010),Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,131 min,"Drama, Mystery, War            ",8.3
The Express of the Unknown,(1951),A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,101 min,"Crime, Drama, Film-Noir            ",7.9
Sin City,(2005),"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",124 min,"Crime, Thriller            ",8
Two Smoking Barrels,(1998),"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",107 min,"Action, Comedy, Crime            ",8.2
The favored,(2018),"In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.",119 min,"Biography, Comedy, Drama            ",7.5
Before Midnight,(2013),We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,109 min,"Drama, Romance            ",7.9
A wonderful person,(2001),"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",135 min,"Biography, Drama            ",8.2
The Carlito case,(1993),"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",144 min,"Crime, Drama, Thriller            ",7.9
The incorruptibles,(1987),"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",119 min,"Crime, Drama, Thriller            ",7.9
Casino,(1995),"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",178 min,"Crime, Drama            ",8.2
Gran Torino,(2008),"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",116 min,Drama            ,8.1
Memories of crime,(2003),"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",131 min,"Crime, Drama, Mystery            ",8.1
Objector of conscience,(2016),"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",139 min,"Biography, Drama, History            ",8.1
Optimism guide,(2012),"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",122 min,"Comedy, Drama, Romance            ",7.7
Little Miss Sunshine,(2006),A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,101 min,"Comedy, Drama            ",7.8
Nights of Cambria,(1957),A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,110 min,Drama            ,8.1
a trip to the wild nature,(2007),"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",148 min,"Adventure, Biography, Drama            ",8.1
Dunkirk,(2017),"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",106 min,"Action, Drama, History            ",7.8
Shoplifters,(2018),A family of small-time crooks take in a child they find outside in the cold.,121 min,"Crime, Drama            ",7.9
Stalker,(1979),A guide leads two men through an area known as the Zone to find a room that grants wishes.,162 min,"Drama, Sci-Fi            ",8.1
The Devil Women,(1955),The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,117 min,"Crime, Drama, Horror            ",8.1
Hot and Hot,(2007),"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town.",121 min,"Action, Comedy, Mystery            ",7.8
The girl who disappeared,(2014),"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",149 min,"Drama, Mystery, Thriller            ",8.1
Hotel Rwanda,(2004),"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",121 min,"Biography, Drama, History            ",8.1
Stories for Wilds,(2014),Six short stories that explore the extremities of human behavior involving people in distress.,122 min,"Comedy, Drama, Thriller            ",8.1
The Grand Budapest Hotel,(2014),"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",99 min,"Adventure, Comedy, Crime            ",8.1
Prisoners,(2013),"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",153 min,"Crime, Drama, Mystery            ",8.1
Love without a barrier,(1966),A nurse is put in charge of a mute actress and finds that their personae are melding together.,85 min,"Drama, Thriller            ",8.1
The history of games 2,(1999),"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",92 min,"Animation, Adventure, Comedy            ",7.9
Short Term 12,(2013),A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,96 min,Drama            ,7.9
The rescue,(2015),"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",144 min,"Adventure, Drama, Sci-Fi            ",8
Rush,(I) (2013),The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,123 min,"Action, Biography, Drama            ",8.1
Hachiko: The story of a dog,(2009),A college professor bonds with an abandoned dog he takes into his home.,93 min,"Biography, Drama, Family            ",8.1
"Zombies, the awakening of the dead",(1978),"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",127 min,"Horror, Thriller            ",7.8
Catch Me If You Can,(2002),"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",141 min,"Biography, Crime, Drama            ",8.1
Akira,(1988),"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",124 min,"Animation, Action, Drama            ",8
Paper moon,(1973),"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",102 min,"Comedy, Crime, Drama            ",8.1
Satanic affairs,(2002),"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",101 min,"Action, Crime, Drama            ",8
Mary Poppins,(1964),"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",139 min,"Comedy, Family, Fantasy            ",7.8
Dogs day,(1975),"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",125 min,"Biography, Crime, Drama            ",8
The Belleville Trio,(2003),"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",80 min,"Animation, Comedy, Drama            ",7.7
The wings of love,(1987),"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal.",128 min,"Drama, Fantasy, Romance            ",8
What happened to Baby Jane?,(1962),A former child star torments her paraplegic sister in their decaying Hollywood mansion.,134 min,"Drama, Horror, Thriller            ",8
Anomalies,(2015),A man crippled by the mundanity of his life experiences something out of the ordinary.,90 min,"Animation, Comedy, Drama            ",7.2
The Scissorhands,(1990),"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",105 min,"Drama, Fantasy, Romance            ",7.9
Ghostbusters,(1984),"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",105 min,"Action, Comedy, Fantasy            ",7.8
