Title,Year,Plot,Runtime,Genre,Imdb rating
Melody of Happiness,(1965),A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,172 min,"Biography, Drama, Family            ",8.1
Inception,(2010),"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",148 min,"Action, Adventure, Sci-Fi            ",8.8
Bonnie and Clyde,(1967),"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",111 min,"Action, Biography, Crime            ",7.7
The midnight cowboy,(1969),"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",113 min,Drama            ,7.8
Grabs of the Earth,(1953),"A weary gunfighter in 1880s Wyoming begins to envision a quieter life after befriending a homestead family with a young son who idolizes him, but a smoldering range war forces him to act.",118 min,"Drama, Western            ",7.6
Intolerance: Love's Struggle Throughout the Ages,(1916),"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",163 min,"Drama, History            ",7.7
Man on Wire,(2008),"A look at tightrope walker Philippe Petit's daring, but illegal, high-wire routine performed between New York City's World Trade Center's twin towers in 1974, what some consider, ""the artistic crime of the century"".",94 min,"Documentary, Biography, Crime            ",7.7
Battleship Potemkin,(1925),"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",75 min,"Drama, History, Thriller            ",8
Anatomy of a crime,(1959),"An upstate Michigan lawyer defends a soldier who claims he killed an innkeeper due to temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",161 min,"Drama, Mystery            ",8
The cheetah,(1963),"The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily.",186 min,"Drama, History            ",8
The lady disappears,(1938),"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",96 min,"Mystery, Thriller            ",7.8
The great fugitive,(1967),"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",127 min,"Crime, Drama            ",8.1
Usual Suspects,(1995),"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",106 min,"Crime, Drama, Mystery            ",8.5
The Shining,(1980),"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",146 min,"Drama, Horror            ",8.4
The city of God,(2002),"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",130 min,"Crime, Drama            ",8.6
Intensity,(1995),A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,170 min,"Action, Crime, Drama            ",8.3
The 13th Heir,(1949),A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,106 min,"Comedy, Crime            ",8
The great Lebowski,(1998),"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.",117 min,"Comedy, Crime            ",8.1
Sweet life,(1960),A series of stories following a week in the life of a philandering tabloid journalist living in Rome.,174 min,"Comedy, Drama            ",8
Fantasia,(1940),"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.",125 min,"Animation, Family, Fantasy            ",7.7
No homeland for the dying,(2007),Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,122 min,"Crime, Drama, Thriller            ",8.2
This Is Spinal Tap,(1984),"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",82 min,"Comedy, Music            ",7.9
Three colors: The red ribbon,(1994),A model discovers a retired judge is keen on invading people's privacy.,99 min,"Drama, Mystery, Romance            ",8.1
The special Will Hunting,(1997),"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",126 min,"Drama, Romance            ",8.3
8½,(1963),A harried movie director retreats into his memories and fantasies.,138 min,Drama            ,8
Trip to Wonderland,(2001),"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",125 min,"Animation, Adventure, Family            ",8.6
La La Land,(2016),"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",128 min,"Comedy, Drama, Music            ",8
West Side Story,(1961),"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",153 min,"Crime, Drama, Musical            ",7.6
The deer hunter,(1978),An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,183 min,"Drama, War            ",8.1
M * A * S * H,(1970),The staff of a Korean War field hospital use humor and high jinks to keep their sanity in the face of the horror of war.,116 min,"Comedy, Drama, War            ",7.4
Beauty and the Beast,(1991),A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,84 min,"Animation, Family, Fantasy            ",8
The lifes' of the others,(2006),"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",137 min,"Drama, Mystery, Thriller            ",8.4
The Artist,(I) (2011),An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,100 min,"Comedy, Drama, Romance            ",7.9
Without measure,(2014),A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,106 min,"Drama, Music            ",8.5
The King's Speech,(2010),"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",118 min,"Biography, Drama, History            ",8
People of horror,(1956),A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,80 min,"Drama, Horror, Sci-Fi            ",7.7
Birdman or (The unexpected virtue of innocence),(2014),"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",119 min,"Comedy, Drama            ",7.7
A City By the Sea,(2016),A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,137 min,Drama            ,7.8
The Lord of the Rings: The Two Towers,(2002),"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",179 min,"Action, Adventure, Drama            ",8.8
Third type close contacts,(1977),"Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches.",138 min,"Drama, Sci-Fi            ",7.6
Brooklyn,(2015),"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.",117 min,"Drama, Romance            ",7.5
Million Dollar Baby,(2004),A determined woman works with a hardened boxing trainer to become a professional.,132 min,"Drama, Sport            ",8.1
Submarine U-96: Return to Hell,(1981),"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",149 min,"Drama, War            ",8.4
At any cost,(II) (2016),A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,102 min,"Action, Crime, Drama            ",7.6
Ordinary people,(1980),"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",124 min,Drama            ,7.7
The pianist,(2002),A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,150 min,"Biography, Drama, Music            ",8.5
Come and see,(1985),"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",142 min,"Drama, Thriller, War            ",8.4
Cinema Paradise,(1988),A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,155 min,"Drama, Romance            ",8.5
I am remarrying my wife,(1940),A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,92 min,"Comedy, Drama, Romance            ",7.8
Harold and Maude,(1971),"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",91 min,"Comedy, Drama, Romance            ",7.9
Prosecution witness,(1957),A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,116 min,"Crime, Drama, Mystery            ",8.4
Crosses on the forehead,(1957),"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",88 min,"Drama, War            ",8.4
Stand by me,(1986),"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",89 min,"Adventure, Drama            ",8.1
The eternal sunshine of a pure mind,(2004),"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",108 min,"Drama, Romance, Sci-Fi            ",8.3
Barry Lydon,(1975),An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,185 min,"Adventure, Drama, War            ",8.1
Αμαντέους,(1984),"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",160 min,"Biography, Drama, Music            ",8.4
Oldboy,(2003),"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",120 min,"Action, Drama, Mystery            ",8.4
The Lion King,(1994),"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",88 min,"Animation, Adventure, Drama            ",8.5
Growing up,(I) (2014),"The life of Mason, from early childhood to his arrival at college.",165 min,Drama            ,7.9
Company: Argo,(2012),"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",120 min,"Biography, Drama, Thriller            ",7.7
Thelma and Louise,(1991),"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two girls escape for the crimes they committed.",130 min,"Adventure, Crime, Drama            ",7.5
Matter of life and death,(1946),"A British wartime aviator who cheats death must argue for his life before a celestial court, hoping to prolong his fledgling romance with an American girl.",104 min,"Drama, Fantasy, Romance            ",8
Manhattan,(1979),The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,96 min,"Comedy, Drama, Romance            ",7.9
The Life and Death of Colonel Blimp,(1943),"From the Boer War through World War II, a soldier rises through the ranks in the British military.",163 min,"Drama, Romance, War            ",8.1
The great Escape,(1963),Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,172 min,"Adventure, Drama, History            ",8.2
Spartacus,(1960),"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.",197 min,"Adventure, Biography, Drama            ",7.9
The Knights of the Merciful Bank,(1975),"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",91 min,"Adventure, Comedy, Fantasy            ",8.2
Brazil,(1985),A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,132 min,"Drama, Sci-Fi            ",7.9
Magnolias,(1999),"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",188 min,Drama            ,8
Τούτσι,(1982),"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.",116 min,"Comedy, Drama, Romance            ",7.4
The informant,(2006),An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,151 min,"Crime, Drama, Thriller            ",8.5
The arrival,(II) (2016),A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,116 min,"Drama, Sci-Fi            ",7.9
Casino Royale,(2006),"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",144 min,"Action, Adventure, Thriller            ",8
When Harry met Sally,(1989),"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",95 min,"Comedy, Drama, Romance            ",7.7
Slumdog Millionaire,(2008),"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",120 min,"Drama, Romance            ",8
Blue velvet,(1986),"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",120 min,"Crime, Drama, Mystery            ",7.7
King for one night,(1982),"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",109 min,"Comedy, Crime, Drama            ",7.8
Breakfast Club,(1985),Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,97 min,"Comedy, Drama            ",7.8
Wall-Y,(2008),"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",98 min,"Animation, Adventure, Family            ",8.4
