Title,Year,Plot,Runtime,Genre,Imdb rating
"The godfather, part 2",(1974),"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",202 min,"Crime, Drama            ",9
The dark Knight,(2008),"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",152 min,"Action, Crime, Drama            ",9
Blade Runner,(1982),"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",117 min,"Action, Drama, Sci-Fi            ",8.1
Star Wars,(1977),"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",121 min,"Action, Adventure, Fantasy            ",8.6
Everything for Eva,(1950),A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,138 min,Drama            ,8.2
The Hunters of the Lost Ark,(1981),"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",115 min,"Action, Adventure            ",8.4
Back to the Future,(1985),"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",116 min,"Adventure, Comedy, Sci-Fi            ",8.5
Lawrence of Arabia,(1962),"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",218 min,"Adventure, Biography, Drama            ",8.3
Shark's jaws,(1975),"When a killer shark unleashes chaos on a beach community off Long Island, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",124 min,"Adventure, Thriller            ",8.1
12 years slave,(2013),"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",134 min,"Biography, Drama, History            ",8.1
The studio,(1960),"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",125 min,"Comedy, Drama, Romance            ",8.3
Τσαίνταουν,(1974),"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",130 min,"Drama, Mystery, Thriller            ",8.2
Some prefer it hot,(1959),"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",121 min,"Comedy, Music, Romance            ",8.2
The workshop of Dr. Caligari,(1920),"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",76 min,"Horror, Mystery, Thriller            ",8
The dictator,(1940),Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,125 min,"Comedy, Drama, War            ",8.4
The Lord of the Rings: The Companion of the Ring,(2001),A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,178 min,"Action, Adventure, Drama            ",8.8
"Alien, the space passenger",(1979),The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,117 min,"Horror, Sci-Fi            ",8.5
The prisoner of the desert,(1956),An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.,119 min,"Adventure, Drama, Western            ",7.9
Andrei Rublyov,(1966),"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",205 min,"Biography, Drama, History            ",8
Spotlight: All in the light,(I) (2015),"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",129 min,"Biography, Crime, Drama            ",8.1
Once upon a time in the West,(1968),A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,165 min,Western            ,8.5
Moonlight,(I) (2016),"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.",111 min,Drama            ,7.4
Metropolis,(1927),"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",153 min,"Drama, Sci-Fi            ",8.3
The Lord of the Rings: The return of the king,(2003),Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,201 min,"Action, Adventure, Drama            ",9
Modern times,(1936),The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,87 min,"Comedy, Drama, Romance            ",8.5
Alliance: The return,(1986),"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",137 min,"Action, Adventure, Sci-Fi            ",8.4
It happened one night,(1934),"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",105 min,"Comedy, Romance            ",8.1
Lora,(1944),A police detective falls in love with the woman whose murder he is investigating.,88 min,"Drama, Film-Noir, Mystery            ",7.9
Exterminator 2: Judgment Day (1991),(1991),"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",137 min,"Action, Sci-Fi            ",8.6
The Clockwork Orange,(1971),"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",136 min,"Crime, Sci-Fi            ",8.3
Ε.Τ. the alien,(1982),A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,115 min,"Adventure, Family, Sci-Fi            ",7.9
"Nosferatou, a horror deal",(1922),Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,94 min,"Fantasy, Horror            ",7.9
Snow white and the Seven dwarfs,(1937),"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",83 min,"Animation, Adventure, Family            ",7.6
The battle of Algeria,(1966),"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",121 min,"Drama, War            ",8.1
The Great Chimera,(1937),"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",113 min,"Drama, War            ",8.1
In the shadow of the four giants,(1959),"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",136 min,"Adventure, Mystery, Thriller            ",8.3
The Two Robbers,(1969),"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",110 min,"Biography, Crime, Drama            ",8
Apostrophe,(1965),A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,105 min,"Drama, Horror, Thriller            ",7.6
The Maltese hawk,(1941),"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",100 min,"Crime, Film-Noir, Mystery            ",8
Gravity,(2013),Two astronauts work together to survive after an accident leaves them stranded in space.,91 min,"Action, Drama, Sci-Fi            ",7.7
West Avenue,(1950),A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,110 min,"Drama, Film-Noir            ",8.4
King Kong,(1933),A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,100 min,"Adventure, Horror, Sci-Fi            ",7.9
The history of games,(1995),A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,81 min,"Animation, Adventure, Comedy            ",8.3
Silent Martyr,(1954),"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",112 min,"Mystery, Thriller            ",8.5
The geisha and the samurai,(1950),"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",88 min,"Crime, Drama, Mystery            ",8.2
The Adventures of Robin Hood,(1938),"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.",102 min,"Action, Adventure, Romance            ",7.9
Spree with the Beatles,(1964),"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live TV performance.",87 min,"Comedy, Musical            ",7.6
The Bride of Frankenstein,(1935),"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.",75 min,"Drama, Horror, Sci-Fi            ",7.8
The Dusseldorf Dragon,(1931),"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",117 min,"Crime, Mystery, Thriller            ",8.3
Social Scandals,(1940),"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",112 min,"Comedy, Romance            ",7.9
The treasure of Sierra Madre,(1948),Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,126 min,"Adventure, Drama, Western            ",8.2
Nothing newer than the west front,(1930),"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",152 min,"Drama, War            ",8.1
Bicycle thief,(1948),"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",89 min,Drama            ,8.3
The novice,(1967),A disillusioned college graduate finds himself torn between his older lover and her daughter.,106 min,"Comedy, Drama, Romance            ",8
The Army of Shadows,(1969),An account of underground resistance fighters in Nazi-occupied France.,145 min,"Drama, War            ",8.1
Bus the Desire,(1951),Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,122 min,Drama            ,8
The Death Penalty with the Sign,(1955),"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",92 min,"Crime, Drama, Film-Noir            ",8
In the Cuckoo nest,(1975),"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",133 min,Drama            ,8.7
Rebecca,(1940),A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,130 min,"Drama, Film-Noir, Mystery            ",8.1
Selma,(2014),"A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965.",128 min,"Biography, Drama, History            ",7.5
Rosemary's baby,(1968),"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.",137 min,"Drama, Horror            ",8
Frankenstein,(1931),Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.,70 min,"Drama, Horror, Sci-Fi            ",7.8
The general,(1926),"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",67 min,"Action, Adventure, Comedy            ",8.2
The Conformist,(1970),"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",113 min,Drama            ,7.9
The prince of terror,(1958),"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",95 min,"Crime, Drama, Film-Noir            ",8
Nervous lover,(1977),"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.",93 min,"Comedy, Romance            ",8
A wonderful life,(1946),An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,130 min,"Drama, Family, Fantasy            ",8.6
When the Earth stops,(1951),"An alien lands in Washington, D.C. and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.",92 min,"Drama, Sci-Fi            ",7.8
The Hurt Locker,(2008),"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",131 min,"Drama, Thriller, War            ",7.5
Los Angeles: Confidential,(1997),"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",138 min,"Crime, Drama, Mystery            ",8.3
Mad Max: The Road to Rage,(2015),"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",120 min,"Action, Adventure, Sci-Fi            ",8.1
Pinocchio,(1940),"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",88 min,"Animation, Adventure, Comedy            ",7.5
The 39 stairs,(1935),"A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information.",86 min,"Crime, Mystery, Thriller            ",7.6
"Rome, Fortified City",(1945),"During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape.",103 min,"Drama, Thriller, War            ",8
